PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,FamilySize,IsAlone,AgeGroup,FareGroup,FamilySizeGroup,SexPclass_female_1,SexPclass_female_2,SexPclass_female_3,SexPclass_male_1,SexPclass_male_2,SexPclass_male_3,AgePclass_1_1,AgePclass_1_2,AgePclass_1_3,AgePclass_2_1,AgePclass_2_2,AgePclass_2_3,AgePclass_3_1,AgePclass_3_2,AgePclass_3_3,AgePclass_4_1,AgePclass_4_2,AgePclass_4_3,AgePclass_5_1,AgePclass_5_2,AgePclass_5_3
64,0,3,0,4.0,27.9,0,4,6,0,1,3,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
65,0,1,0,40.0,27.7208,1,1,1,1,4,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
66,1,3,0,4.0,15.2458,1,4,3,0,1,3,2,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
67,1,2,1,29.0,10.5,0,3,1,1,3,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
68,0,3,0,19.0,8.1583,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
69,1,3,1,17.0,7.925,0,2,7,0,2,2,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
70,0,3,0,26.0,8.6625,0,1,3,0,3,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
71,0,2,0,32.0,10.5,0,1,1,1,3,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
72,0,3,1,16.0,46.9,0,2,8,0,2,4,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
73,0,2,0,21.0,73.5,0,1,1,1,3,4,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
74,0,3,0,26.0,14.4542,1,1,2,0,3,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
75,1,3,0,32.0,56.4958,0,1,1,1,3,4,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
76,0,3,0,25.0,7.65,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
77,0,3,0,26.0,7.8958,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
78,0,3,0,26.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
79,1,2,0,0.83,29.0,0,4,3,0,1,3,2,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
80,1,3,1,30.0,12.475,0,2,1,1,3,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
81,0,3,0,22.0,9.0,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
82,1,3,0,29.0,9.5,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
83,1,3,1,18.0,7.7875,2,2,1,1,2,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
84,0,1,0,28.0,47.1,0,1,1,1,3,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
85,1,2,1,17.0,10.5,0,2,1,1,2,2,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
86,1,3,1,33.0,15.85,0,3,4,0,3,3,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
87,0,3,0,16.0,34.375,0,1,5,0,2,4,3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
88,0,3,0,26.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
89,1,1,1,23.0,263.0,0,2,6,0,3,4,3,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
90,0,3,0,24.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
91,0,3,0,29.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
92,0,3,0,20.0,7.8542,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
93,0,1,0,46.0,61.175,0,1,2,0,4,4,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
94,0,3,0,26.0,20.575,0,1,4,0,3,3,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
95,0,3,0,59.0,7.25,0,1,1,1,4,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
96,0,3,0,26.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
97,0,1,0,71.0,34.6542,1,1,1,1,5,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
98,1,1,0,23.0,63.3583,1,1,2,0,3,4,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
99,1,2,1,34.0,23.0,0,3,2,0,3,3,2,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
100,0,2,0,34.0,26.0,0,1,2,0,3,3,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
101,0,3,1,28.0,7.8958,0,2,1,1,3,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
102,0,3,0,26.0,7.8958,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
103,0,1,0,21.0,77.2875,0,1,2,0,3,4,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
104,0,3,0,33.0,8.6542,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
105,0,3,0,37.0,7.925,0,1,3,0,4,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
106,0,3,0,28.0,7.8958,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
107,1,3,1,21.0,7.65,0,2,1,1,3,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
108,1,3,0,26.0,7.775,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
109,0,3,0,38.0,7.8958,0,1,1,1,4,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
110,1,3,1,18.0,24.15,2,2,2,0,2,3,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
111,0,1,0,47.0,52.0,0,1,1,1,4,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
112,0,3,1,14.5,14.4542,1,2,2,0,2,2,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
113,0,3,0,22.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
114,0,3,1,20.0,9.825,0,2,2,0,3,2,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
115,0,3,1,17.0,14.4583,1,2,1,1,2,3,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
116,0,3,0,21.0,7.925,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
117,0,3,0,70.5,7.75,2,1,1,1,5,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
118,0,2,0,29.0,21.0,0,1,2,0,3,3,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
119,0,1,0,24.0,247.5208,1,1,2,0,3,4,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
120,0,3,1,2.0,31.275,0,2,7,0,1,4,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
121,0,2,0,21.0,73.5,0,1,3,0,3,4,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
122,0,3,0,26.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
123,0,2,0,32.5,30.0708,1,1,2,0,3,3,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
124,1,2,1,32.5,13.0,0,2,1,1,3,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
125,0,1,0,54.0,77.2875,0,1,2,0,4,4,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
126,1,3,0,12.0,11.2417,1,4,2,0,1,2,2,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
127,0,3,0,26.0,7.75,2,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
128,1,3,0,24.0,7.1417,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
129,1,3,1,18.0,22.3583,1,2,3,0,2,3,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
130,0,3,0,45.0,6.975,0,1,1,1,4,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
131,0,3,0,33.0,7.8958,1,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
132,0,3,0,20.0,7.05,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
133,0,3,1,47.0,14.5,0,3,2,0,4,3,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
134,1,2,1,29.0,26.0,0,3,2,0,3,3,2,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
135,0,2,0,25.0,13.0,0,1,1,1,3,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
136,0,2,0,23.0,15.0458,1,1,1,1,3,3,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
137,1,1,1,19.0,26.2833,0,2,3,0,3,3,2,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
138,0,1,0,37.0,53.1,0,1,2,0,4,4,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
139,0,3,0,16.0,9.2167,0,1,1,1,2,2,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
140,0,1,0,24.0,79.2,1,1,1,1,3,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
141,0,3,1,31.0,15.2458,1,3,3,0,3,3,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
142,1,3,1,22.0,7.75,0,2,1,1,3,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
143,1,3,1,24.0,15.85,0,3,2,0,3,3,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
144,0,3,0,19.0,6.75,2,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
145,0,2,0,18.0,11.5,0,1,1,1,2,2,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
146,0,2,0,19.0,36.75,0,1,3,0,3,4,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
147,1,3,0,27.0,7.7958,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
148,0,3,1,9.0,34.375,0,2,5,0,1,4,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
149,0,2,0,36.5,26.0,0,1,3,0,4,3,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
150,0,2,0,42.0,13.0,0,5,1,1,4,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
151,0,2,0,51.0,12.525,0,5,1,1,4,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
152,1,1,1,22.0,66.6,0,3,2,0,3,4,2,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
153,0,3,0,55.5,8.05,0,1,1,1,4,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
154,0,3,0,40.5,14.5,0,1,3,0,4,3,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
155,0,3,0,26.0,7.3125,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
156,0,1,0,51.0,61.3792,1,1,2,0,4,4,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
157,1,3,1,16.0,7.7333,2,2,1,1,2,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
158,0,3,0,30.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
159,0,3,0,26.0,8.6625,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
160,0,3,0,4.0,69.55,0,4,11,0,1,4,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
161,0,3,0,44.0,16.1,0,1,2,0,4,3,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
162,1,2,1,40.0,15.75,0,3,1,1,4,3,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
163,0,3,0,26.0,7.775,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
164,0,3,0,17.0,8.6625,0,1,1,1,2,2,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
165,0,3,0,1.0,39.6875,0,4,6,0,1,4,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
166,1,3,0,9.0,20.525,0,4,3,0,1,3,2,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
167,1,1,1,40.0,55.0,0,3,2,0,4,4,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
168,0,3,1,45.0,27.9,0,3,6,0,4,3,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
169,0,1,0,40.0,25.925,0,1,1,1,4,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
170,0,3,0,28.0,56.4958,0,1,1,1,3,4,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
171,0,1,0,61.0,33.5,0,1,1,1,5,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
172,0,3,0,4.0,29.125,2,4,6,0,1,3,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
173,1,3,1,1.0,11.1333,0,2,3,0,1,2,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
174,0,3,0,21.0,7.925,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
175,0,1,0,56.0,30.6958,1,1,1,1,4,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
176,0,3,0,18.0,7.8542,0,1,3,0,2,1,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
177,0,3,0,4.0,25.4667,0,4,5,0,1,3,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
178,0,1,1,50.0,28.7125,1,2,1,1,4,3,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
179,0,2,0,30.0,13.0,0,1,1,1,3,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
180,0,3,0,36.0,0.0,0,1,1,1,4,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
181,0,3,1,18.0,69.55,0,2,11,0,2,4,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
182,0,2,0,31.0,15.05,1,1,1,1,3,3,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
183,0,3,0,9.0,31.3875,0,4,7,0,1,4,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
184,1,2,0,1.0,39.0,0,4,4,0,1,4,2,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
185,1,3,1,4.0,22.025,0,2,3,0,1,3,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
